laufkont,laufzeit,moral,verw,hoehe,sparkont,beszeit,rate,famges,buerge,wohnzeit,verm,alter,weitkred,wohn,bishkred,beruf,pers,telef,gastarb,kredit,mixed_type_col
4.0,9.0,4.0,0.0,1224.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,30.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,752
4.0,12.0,4.0,3.0,2331.0,5.0, 5.0 ,1.0,3.0,542.0,4.0,1.0,49.0, 3.0 ,2.0,1.0, 3.0 , 2.0 ,2.0,2.0,1.0,754
4.0,24.0,2.0,1.0,6313.0,5.0,5.0,3.0,3.0,1.0,4.0,3.0,41.0,3.0,2.0,685.0,4.0,1.0,2.0, 2.0 ,1.0,775
1.0,12.0,4.0,3.0,385.0, 1.0 ,4.0,4.0,2.0,1.0, 3.0 ,1.0,58.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,20
4.0,12.0,4.0,3.0,1655.0,1.0,5.0,2.0,3.0,62.0,4.0,1.0,63.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,455
1.0,15.0,2.0,3.0,1053.0,1.0,2.0,4.0,4.0,1.0,2.0,1.0,27.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,274
4.0,21.0,2.0,3.0,3160.0,5.0,5.0,4.0, 3.0 ,1.0,3.0,2.0,41.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,915
4.0,36.0,2.0,0.0,3079.0,5.0, 3.0 ,4.0,3.0,1.0,4.0,1.0,36.0,3.0, 2.0 ,1.0,3.0,2.0,,2.0,1.0,bad
4.0,12.0,4.0,0.0,1163.0,3.0,3.0,4.0,3.0,1.0,4.0,1.0,44.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,
4.0,24.0,2.0,1.0,2679.0,1.0,2.0,4.0,2.0,1.0,1.0,4.0,29.0,3.0,2.0,error,4.0,2.0,2.0,2.0,1.0,437
4.0,48.0,4.0,3.0,3578.0,5.0,5.0,4.0,3.0,155.0,1.0,1.0,47.0, 3.0 , 2.0 , 1.0 ,3.0,2.0,2.0,2.0,1.0,113
4.0,36.0,3.0,0.0,10875.0,1.0,5.0,2.0,3.0,1.0,2.0,3.0,45.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,620
1.0, 12.0 ,3.0,0.0,1344.0,1.0,3.0,4.0,3.0,1.0,2.0,1.0,43.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,610
4.0,6.0,4.0,3.0,1237.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,27.0,3.0,2.0,2.0,3.0,2.0, 1.0 ,2.0,1.0,unknown
4.0,12.0,2.0,3.0,3077.0,1.0,3.0,2.0,3.0,1.0,4.0,3.0,52.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,unknown
4.0,24.0,2.0,3.0,2284.0,1.0,4.0,4.0,241.0,1.0,2.0,3.0,28.0, 3.0 ,2.0,1.0,3.0,2.0,2.0,2.0,1.0,
2.0,12.0,2.0,3.0,1567.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,22.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,660
4.0,24.0,3.0,,2032.0,1.0,5.0,4.0,3.0,1.0,4.0,4.0,60.0,3.0,3.0,2.0,3.0,2.0, 2.0 ,2.0,1.0,
2.0,21.0,4.0,2.0,2745.0,4.0,4.0,3.0,3.0,1.0, 2.0 ,3.0,32.0, 3.0 ,2.0,2.0,3.0,2.0,2.0,2.0,1.0,bad
 4.0 , 30.0 , 2.0 ,3.0,1867.0,5.0,5.0, 4.0 ,3.0,1.0,4.0,3.0,58.0,3.0,2.0,1.0,3.0,2.0, 2.0 ,2.0,1.0,887
4.0,36.0,2.0,3.0,2299.0,3.0,5.0,4.0,3.0,1.0,4.0,3.0,39.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,484
4.0,24.0,172.0,2.0,929.0,5.0,4.0,4.0,3.0,1.0,2.0,3.0,31.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,17
3.0,12.0,2.0,3.0,3399.0,5.0,5.0,2.0,3.0,1.0,3.0,3.0,37.0,3.0,2.0,1.0, 4.0 ,2.0,1.0,2.0,1.0,682
2.0,9.0,2.0,2.0,2030.0,5.0, 4.0 ,2.0,3.0,1.0,1.0,3.0,24.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,939
4.0, 21.0 ,4.0,1.0,3275.0,1.0,5.0,1.0,3.0,1.0,4.0,3.0,36.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,709
4.0,24.0,4.0,0.0,1940.0,4.0,5.0,4.0,3.0, 1.0 ,4.0,1.0,60.0,3.0,,1.0,3.0,2.0,2.0,2.0,1.0,358
1.0,21.0,4.0,0.0,1602.0,1.0,5.0,4.0,4.0, 1.0 ,3.0,3.0,30.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0, 1.0 ,
4.0,15.0,2.0,?,1979.0,5.0,5.0,4.0,3.0,1.0,2.0,3.0,35.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0, 1.0 ,
4.0,,4.0,0.0,2022.0,1.0,3.0,4.0,2.0,1.0,4.0, 3.0 ,37.0,,2.0,1.0,3.0,2.0,2.0,2.0,1.0,unknown
4.0,36.0,4.0,3.0,3342.0,5.0,5.0,4.0,error,1.0,2.0,3.0,51.0,3.0,2.0,1.0,3.0,2.0,2.0, 2.0 ,1.0,bad
2.0,18.0,2.0,0.0,5866.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,30.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,625
3.0,15.0,4.0,1.0,2360.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,36.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,unknown
4.0, 15.0 ,4.0,2.0,1520.0,5.0,5.0,4.0,3.0,1.0,4.0,2.0,63.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,172
1.0,12.0,2.0,0.0,3651.0,4.0,3.0,1.0,3.0,1.0,3.0,2.0, 31.0 ,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,bad
4.0,24.0,,1.0,2346.0,1.0,4.0,4.0, 3.0 ,1.0,3.0,3.0,35.0,3.0,516.0,2.0,3.0,2.0,2.0,2.0,1.0,unknown
4.0,36.0,3.0,3.0,4454.0,1.0,3.0,4.0,2.0,1.0,4.0,1.0,34.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,903
1.0,6.0,4.0, 0.0 ,666.0,4.0,4.0,3.0,2.0, 1.0 ,4.0,1.0,39.0,3.0,2.0,2.0, 2.0 ,2.0,2.0,2.0,1.0,63
,24.0,3.0,0.0,1965.0,5.0,3.0,4.0,2.0,1.0,4.0,3.0, 42.0 ,3.0,1.0,2.0,3.0, 2.0 ,2.0,2.0,1.0,846
2.0,12.0,4.0,0.0,1995.0,2.0,2.0,4.0,3.0,1.0,1.0,3.0,27.0,3.0,2.0,1.0,3.0, INVALID ,1.0, 2.0 ,1.0,779
2.0, 30.0 ,,3.0,2991.0,5.0,5.0,2.0,2.0,1.0,4.0,3.0,25.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,515
 2.0 ,30.0,0.0,9.0,?,1.0,3.0,2.0,2.0,1.0,1.0,3.0, 28.0 ,3.0,2.0,2.0,3.0,2.0,1.0,2.0,,993
1.0,9.0,2.0,3.0,1364.0, 1.0 ,4.0,3.0, 3.0 ,1.0,4.0,1.0,59.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,716
2.0,18.0,4.0,2.0,6361.0,1.0,5.0,2.0,3.0,1.0,1.0,4.0,41.0,3.0,2.0,1.0,3.0,2.0, 2.0 ,2.0,1.0,41
4.0,27.0,4.0,2.0,4526.0,4.0,2.0,4.0,3.0,10.0,2.0,1.0,32.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,unknown
2.0,12.0,4.0,, 4104.0 ,1.0,3.0,1.0,2.0,1.0,1.0,1.0,23.0,3.0,2.0,1.0,2.0, 2.0 ,1.0, 2.0 ,1.0,840
2.0,36.0,3.0,9.0,4455.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,30.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,0.0,unknown
1.0,9.0,2.0,2.0,2136.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,25.0,3.0,2.0,, 3.0 ,2.0, 1.0 ,2.0,1.0,160
2.0, 42.0 ,4.0,9.0,5954.0,1.0,4.0,,2.0,1.0,1.0,1.0,41.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,170
4.0,24.0,4.0,2.0,3777.0,4.0,3.0,4.0,3.0,1.0,4.0,1.0,40.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,924
1.0,15.0,2.0,9.0,806.0, 1.0 ,179.0,4.0,2.0,1.0,4.0,2.0,22.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,
2.0,24.0,3.0,9.0,4712.0,5.0,3.0,4.0,3.0,1.0,2.0,2.0,34.0,1.0,2.0,2.0,4.0, 2.0 ,2.0,2.0,1.0,949
2.0,36.0,3.0,0.0,7432.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,54.0,3.0,1.0,1.0, 3.0 ,762.0,1.0,2.0,1.0,540
4.0,24.0, 4.0 ,3.0,1851.0,1.0,4.0,4.0,4.0, 3.0 ,2.0,3.0,33.0,3.0,2.0,2.0,3.0,2.0,2.0, 2.0 ,1.0,807
4.0, 24.0 ,2.0,0.0,1393.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,31.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,215
4.0,12.0,4.0,9.0,1412.0,1.0,3.0,4.0,2.0, 3.0 ,2.0,1.0,29.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,344
4.0,18.0,2.0,3.0,1473.0,1.0,2.0,3.0,4.0,1.0,4.0, 1.0 ,39.0,847.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,728
,24.0,2.0,3.0,1533.0,1.0,2.0,4.0,2.0,1.0,3.0,3.0,38.0,2.0,2.0,1.0,3.0, 2.0 ,2.0,2.0,967.0,162
4.0,12.0,4.0,6.0,2012.0,5.0,4.0,4.0,2.0,1.0,2.0,3.0,61.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,
1.0,15.0,2.0,0.0,3959.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,29.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,609
1.0,6.0,2.0,2.0,428.0,1.0,5.0,2.0,2.0, 1.0 ,1.0, 2.0 ,49.0,1.0,2.0,1.0,3.0,2.0,2.0,731.0,1.0,8
2.0,12.0,NULL,0.0,2366.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,36.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,938
4.0,12.0,2.0,2.0,763.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,26.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,unknown
2.0,21.0,2.0,2.0,3976.0,5.0,4.0,2.0,3.0,1.0,3.0,3.0,35.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0, 1.0 ,713
2.0,18.0,2.0,0.0,6260.0,1.0,4.0,3.0,3.0,1.0,invalid,1.0, 28.0 ,3.0,1.0,1.0, 2.0 ,2.0,1.0,2.0,1.0,500
2.0,9.0,4.0,2.0,1919.0,1.0,4.0,4.0,3.0,1.0,3.0,3.0,35.0,3.0,1.0,1.0,3.0,,2.0,575.0, 1.0 ,623
4.0,24.0,2.0,263.0,2603.0,4.0,3.0, 2.0 ,2.0,1.0,4.0,3.0,28.0,3.0,1.0, 1.0 ,3.0,2.0,2.0,2.0,1.0,unknown
 4.0 ,9.0,4.0,6.0,936.0,3.0,5.0,4.0, 3.0 ,1.0,2.0,3.0,52.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,4
4.0,24.0,2.0,2.0, 3062.0 ,3.0,5.0,4.0,3.0,1.0,3.0,4.0,32.0,3.0,1.0, 1.0 , 3.0 ,2.0,2.0,2.0,1.0,unknown
2.0,36.0,2.0,3.0,,1.0,2.0,4.0,2.0,1.0,1.0,4.0,30.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,bad
4.0,36.0,4.0,1.0,5842.0,1.0,5.0,2.0,3.0,1.0,2.0,2.0,35.0,3.0,630.0,2.0, 3.0 ,1.0,2.0,2.0,1.0,123
2.0,6.0,2.0,3.0,2063.0,1.0,2.0,4.0,4.0,1.0,3.0, 3.0 ,30.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,245
4.0,15.0,4.0,3.0,1459.0,1.0, 3.0 ,4.0,2.0,1.0,2.0,3.0,43.0,3.0,2.0,1.0,?,2.0,1.0, 2.0 ,1.0,23
4.0,15.0,2.0,3.0,1213.0,3.0,5.0,4.0,3.0,1.0,3.0,2.0,47.0, 2.0 ,2.0, 1.0 ,3.0,2.0,2.0,2.0,1.0,55
4.0,24.0,4.0,3.0,5103.0,1.0,2.0,3.0,4.0,1.0,3.0,4.0,47.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,444
4.0,15.0,2.0,4.0,874.0,5.0,2.0,4.0,2.0,N/A,1.0,1.0,24.0,3.0, 2.0 ,1.0,3.0,2.0,1.0,2.0,1.0,660
4.0,6.0,2.0,2.0,2978.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,32.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,100
4.0,18.0,2.0,0.0,1820.0,1.0,3.0,, 4.0 ,1.0,2.0,2.0, 30.0 ,NULL,2.0,1.0,4.0,2.0,2.0,2.0,1.0,bad
4.0,24.0, 4.0 ,3.0,2872.0,2.0, 5.0 ,3.0,3.0,1.0,NULL,1.0,36.0,3.0, 2.0 ,1.0,3.0,1.0,2.0,2.0,1.0,775
3.0,24.0,2.0,2.0,1925.0,1.0,3.0,2.0,3.0,,2.0,1.0,26.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,662
4.0,18.0,2.0,2.0, 2515.0 , 1.0 ,3.0,3.0,3.0,1.0,4.0,1.0,43.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,71
3.0,6.0,2.0,2.0,2116.0, 1.0 ,3.0,2.0,3.0,1.0,2.0,1.0,,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,518
4.0, 18.0 ,2.0,3.0,1453.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,26.0,3.0,2.0,1.0,3.0,2.0,1.0, 2.0 ,1.0,920
4.0,10.0,2.0,488.0,1364.0,1.0,3.0, 2.0 ,2.0,1.0,4.0, 3.0 ,64.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,
4.0,6.0,2.0,2.0,1543.0,4.0,3.0,4.0,1.0, 1.0 ,2.0,1.0,33.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,540
2.0,12.0,2.0,0.0,1318.0,4.0,5.0,4.0,3.0,1.0,4.0,1.0,54.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,564
1.0,24.0,907.0,0.0,2325.0,2.0,4.0,2.0,3.0,1.0,3.0,3.0,32.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,unknown
2.0,6.0,4.0,8.0,932.0,5.0,4.0,1.0, 2.0 ,1.0,3.0,2.0,39.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,918
3.0,24.0,4.0,3.0,3148.0,5.0,3.0,3.0,3.0,1.0,2.0,3.0,31.0,3.0,2.0, 2.0 , 3.0 ,2.0,2.0,2.0,1.0,130
4.0,36.0,2.0,3.0,3835.0,5.0,5.0,2.0,2.0, 1.0 ,4.0,1.0,45.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,62
4.0,9.0,2.0,6.0,3832.0,5.0,5.0,1.0,3.0,1.0,4.0,1.0,64.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,89
 2.0 ,24.0,2.0,456.0,5084.0,,5.0,,2.0, 1.0 , 4.0 ,3.0,42.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,unknown
4.0,9.0,4.0,2.0,2406.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,,3.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,
4.0,36.0,2.0,3.0,2394.0,5.0,3.0,4.0,2.0,1.0,4.0,3.0,25.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,878
4.0,21.0,2.0,1.0,2476.0,5.0,5.0,4.0,3.0,1.0,4.0,1.0,46.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,520
1.0,24.0,2.0,1.0,2964.0,5.0,5.0,4.0,NULL,1.0,4.0,4.0, 49.0 ,1.0,3.0,1.0,72.0,1.0,2.0,2.0,1.0,bad
1.0,12.0,2.0,2.0,1262.0,5.0,5.0,2.0,1.0,1.0,4.0,2.0,49.0, 3.0 ,2.0,1.0, 2.0 , 2.0 , 2.0 ,2.0,1.0,575
4.0,12.0,2.0,9.0,1542.0,1.0,4.0,2.0,3.0,1.0,4.0,3.0,36.0,3.0,2.0,1.0,3.0, 2.0 ,2.0,2.0,1.0,
2.0,24.0,4.0, 3.0 , 1743.0 ,1.0,5.0,4.0,3.0,1.0,2.0,2.0,48.0,3.0,158.0,2.0,2.0,2.0,1.0,2.0,1.0,bad
3.0, 12.0 ,1.0,3.0,409.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,42.0,3.0, 1.0 ,invalid, 3.0 ,2.0,1.0,2.0,1.0,669
?,12.0,2.0,3.0,2171.0,1.0,2.0,2.0,2.0,1.0,2.0, 3.0 ,29.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,272
4.0,48.0,4.0,1.0,8858.0,5.0,4.0,2.0,3.0,1.0,1.0,4.0,35.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,233
